week,transactions_count,users_count,four_week_ma_transactions,four_week_ma_active_users
2023-06-12,171747,10,171747.0,10.0
2023-06-19,302413,7,237080.0,8.5
2023-06-26,302436,14,258865.3333,10.33333333
2023-07-03,302434,8,269757.5,9.75
2023-07-10,379173,34973,321614.0,8750.5
2023-07-17,441125,35642,356292.0,17659.25
2023-07-24,954166,65893,519224.5,34129.0
2023-07-31,2410841,257473,1046326.25,98495.25
2023-08-07,3475445,378969,1820394.25,184494.25
2023-08-14,3587433,362868,2606971.25,266300.75
2023-08-21,4171488,429379,3411301.75,357172.25
2023-08-28,2652990,305235,3471839.0,369112.75
2023-09-04,2530161,254598,3235518.0,338020.0
2023-09-11,4191049,287827,3386422.0,319259.75
2023-09-18,4125988,295995,3375047.0,285913.75
2023-09-25,4374808,324760,3805501.5,290795.0
2023-10-02,3902684,313728,4148632.25,305577.5
2023-10-09,2949691,425435,3838292.75,339979.5
2023-10-16,2937897,533719,3541270.0,399410.5
2023-10-23,2392554,334624,3045706.5,401876.5
2023-10-30,2060466,282217,2585152.0,393998.75
2023-11-06,1811077,258876,2300498.5,352359.0
2023-11-13,1953059,237736,2054289.0,278363.25
2023-11-20,2082372,239964,1976743.5,254698.25
2023-11-27,1856506,268846,1925753.5,251355.5
2023-12-04,1819660,253939,1927899.25,250121.25
2023-12-11,1856352,251634,1903722.5,253595.75
2023-12-18,2077635,282193,1902538.25,264153.0
2023-12-25,2459723,311062,2053342.5,274707.0
2024-01-01,2357134,278888,2187711.0,280944.25
2024-01-08,2299081,279878,2298393.25,288005.25
2024-01-15,2216643,317361,2333145.25,296797.25
2024-01-22,2829867,343532,2425681.25,304914.75
2024-01-29,2746003,346296,2522898.5,321766.75
2024-02-05,3218445,372300,2752739.5,344872.25
2024-02-12,3385283,533732,3044899.5,398965.0
2024-02-19,3092635,486181,3110591.5,434627.25
2024-02-26,3047766,453644,3186032.25,461464.25
2024-03-04,3134788,415628,3165118.0,472296.25
2024-03-11,6968131,1398322,4060830.0,688443.75
2024-03-18,8997458,1009040,5537035.75,819158.5
2024-03-25,12557381,1336130,7914439.5,1039780.0
2024-04-01,15803086,1482071,11081514.0,1306390.75
2024-04-08,16896292,1412995,13563554.25,1310059.0
2024-04-15,15772036,1391672,15257198.75,1405717.0
2024-04-22,15736841,1380920,16052063.75,1416914.5
2024-04-29,15564032,1454019,15992300.25,1409901.5
2024-05-06,14391691,1469258,15366150.0,1423967.25
2024-05-13,12452187,1212340,14536187.75,1379134.25
2024-05-20,12744348,1213860,13788064.5,1337369.25
2024-05-27,13704319,1404975,13323136.25,1325108.25
2024-06-03,17917731,1877956,14204646.25,1427282.75
2024-06-10,19607159,2076869,15993389.25,1643415.0
2024-06-17,20307932,2503887,17884285.25,1965921.75
2024-06-24,22344145,2650147,20044241.75,2277214.75
2024-07-01,20933888,2707791,20798281.0,2484673.5
2024-07-08,22071954,2645315,21414479.75,2626785.0
2024-07-15,25739988,3737759,22772493.75,2935253.0
2024-07-22,26319456,3274380,23766321.5,3091311.25
2024-07-29,23061059,2989911,24298114.25,3161841.25
2024-08-05,23395217,2802996,24628930.0,3201261.5
2024-08-12,26552319,3917412,24832012.75,3246174.75
2024-08-19,27966332,4555820,25243731.75,3566534.75
2024-08-26,28865801,4097181,26694917.25,3843352.25
2024-09-02,27643462,4979300,27756978.5,4387428.25
2024-09-09,30784363,6802426,28814989.5,5108681.75
2024-09-16,32000889,7116151,29823628.75,5748764.5
2024-09-23,32650610,6430950,30769831.0,6332206.75
2024-09-30,33073922,6465186,32127446.0,6703678.25
2024-10-07,38862569,7132713,34146997.5,6786250.0
2024-10-14,37938235,6584097,35631334.0,6653236.5
2024-10-21,40770315,5305278,37661260.25,6371818.5
2024-10-28,44266031,5628220,40459287.5,6162577.0
2024-11-04,44157736,4965962,41783079.25,5620889.25
2024-11-11,44923164,6171916,43529311.5,5517844.0
2024-11-18,47772725,6512394,45279914.0,5819623.0
2024-11-25,38427397,4554357,43820255.5,5551157.25
2024-12-02,44778804,5995401,43975522.5,5808517.0
2024-12-09,44455272,6291077,43858549.5,5838307.25
2024-12-16,47431075,7442728,43773137.0,6070890.75
2024-12-23,45547419,6381507,45553142.5,6527678.25
2024-12-30,51200774,7253080,47158635.0,6842098.0
2025-01-06,50691399,5800768,48717666.75,6719520.75
2025-01-13,49242636,5582489,49170557.0,6254461.0
2025-01-20,53147942,7124948,51070687.75,6440321.25
2025-01-27,53015304,5730642,51524320.25,6059711.75
2025-02-03,46384598,5039594,50447620.0,5869418.25
2025-02-10,44916579,6040805,49366105.75,5983997.25
2025-02-17,45963952,5092867,47570108.25,5475977.0
2025-02-24,44572889,4669378,45459504.5,5210661.0
2025-03-03,50004119,7118218,46364384.75,5730317.0
2025-03-10,49422066,4769082,47490756.5,5412386.25
2025-03-17,50722811,5736909,48680471.25,5573396.75
2025-03-24,46284104,4344307,49108275.0,5492129.0
2025-03-31,46504608,4591097,48233397.25,4860348.75
2025-04-07,48593887,5487739,48026352.5,5040013.0
2025-04-14,41449011,3855236,45707902.5,4569594.75
